CITY,LAT,LON,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Nov-15,Nov-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Nov-16,Dec-16,Jan-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,Apr-18,May-18,Jun-18,Jul-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Dec-19,Jan-20,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Aydin,37.84879244,27.84343113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5514,-5796,-6229,-6481,-6525,-6565,-6649,-6741,-6942,-7041,-7539,-7982,-8059,-8169,-8296,-8931,-9277,-9351,-9823,-10323,-10429,-10617,-10889,-10945,-11077,-11291,-11392,-11463,-11539,-8673,-7108,-7255,-7466,-7564,-7574,-7605,-7611,-7650,-7719,-7957,-7922,-7960,-8003,-7979,-8004,-8010,-7809,-7786,-7793,-7810,-7853,-7843,-7861,-7897,-7953,-7956,-7958,-7939,-7942,-7983
Balikesir,39.63782244,27.8739888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1293,-1419,-1599,-1637,-1663,-1707,-1716,-1748,-1768,-1827,-1935,-2176,-2331,-2437,-2480,-2642,-2936,-3040,-3432,-3665,-3845,-4034,-4192,-4217,-4276,-2923,-3391,-3562,-3610,-3823,-4007,-4138,-4276,-4359,-4344,-4353,-4405,-4372,-4438,-4557,-4582,-4663,-4702,-4717,-4686,-4703,-4703,-4715,-4725,-4746,-4738,-4735,-4756,-4755,-4783,-4783,-4801,-4809,-4806,-4826
Bartin,41.63366211,32.33739466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-14,-21,-25,-26,-26,-27,-27,-28,-30,-31,-33,-33,-34,-34,-43,-48,-57,-65,-65,-70,-76,-78,-78,-77,-98,-85,-90,-90,-90,-104,-121,-131,-130,-132,-132,-129,-132,-132,-133,-133,-130,-165,-197,-222,-237,-247,-298,-315,-327,-320,-320,-320,-317,-308,-306,-304,-302,-301,-299
Batman,37.8767617,41.11442347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4917,-5446,-9046,-10630,-11700,-12222,-12418,-12418,-12418,-12418,-12418,-12418,-12418,-12418,-12418,-12418,-16268,-17473,-17877,-18104,-17958,-18504,-18515,-18630,-18984,-19195,-19446,-19687,-19876,-19989,-2010,-20245,-20437,-20482,-20677,-20802,-20946,-21140,-21154,-21141,-21161,-21256,-21418,-21414,-21440,-21512,-21589,-21926,-22071,-22231,-22310,-22336,-22518,-22256,-22346,-22556,-22392,-22371,-22434,-22392,-22433,-22455,-15719,-15313,-15347,-15088,-15109,-15150,-15180,-15285,-15338,-15387,-15439,-15518,-15525,-15497
Bayburt,40.2580971,40.22508849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,-26,-26,-28,-26,-23,-23,-26,-35,-38,-39,-42,-42,-42,-42,-43,-43,-47,-57,-57,-49,-50,-43,-43,-42,-28,-28,-29,-30,-31,-32,-32,-32,-32,-31,-30,-25,-25,-25,-25,-25,-25,-20,-22,-21,-22,-22,-22,-24,-24,-24,-24,-24,-24,-25,-22,-25,-24,-24,-23
Bilecik,40.14392,29.9806349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-362,-372,-403,-434,-482,-468,-455,-458,-458,-508,-519,-557,-566,-569,-570,-629,-665,-681,-711,-706,-661,-656,-653,-652,-660,-442,-484,-513,-528,-539,-546,-567,-599,-603,-600,-598,-593,-594,-598,-595,-595,-594,-596,-607,-612,-608,-608,-604,-605,-608,-622,-622,-622,-622,-617,-614,-615,-620,-619,-628
Bingol,38.88471498,40.49685278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,-605,-639,-697,-689,-689,-709,-719,-735,-732,-691,-703,-701,-708,-719,-765,-798,-815,-859,-871,-927,-958,-959,-957,-951,-840,-869,-878,-889,-882,-888,-868,-902,-915,-924,-925,-941,-948,-978,-1055,-1058,-1048,-1091,-1094,-1097,-1038,-1049,-1059,-1059,-1072,-1084,-1066,-1053,-1055,-1066,-1063,-1058,-1052,-1048,-1052
Bitlis,38.40435468,42.10763707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-546,-491,-541,-569,-548,-577,-584,-589,-619,-653,-681,-739,-771,-786,-790,-812,-830,-840,-878,-881,-898,-903,-915,-910,-917,-966,-616,-633,-682,-703,-749,-791,-856,-903,-924,-930,-954,-946,-985,-1007,-1020,-1027,-1049,-1077,-1163,-1174,-1190,-1179,-1180,-1186,-1195,-1198,-1199,-1198,-1185,-1216,-1223,-1223,-1227,-1242
Bolu,40.73318243,31.60296464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-570,-667,-761,-847,-885,-890,-899,-932,-977,-979,-1040,-1146,-1238,-1275,-1298,-1451,-1540,-1568,-1666,-1739,-1825,-1907,-2015,-2033,-2057,-2095,-1776,-1691,-1737,-1803,-1855,-1960,-2056,-2111,-2216,-2229,-2321,-2366,-2426,-2521,-2546,-2612,-2679,-2795,-2899,-2942,-2977,-3004,-3015,-3046,-3125,-3127,-3127,-3221,-3312,-3379,-3502,-3668,-3761,-3852
Burdur,37.72041589,30.28323695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4665,-5373,-6944,-7737,-7836,-7828,-7796,-7779,-7779,-7786,-7861,-8087,-8070,-8091,-8110,-8286,-8374,-8401,-8369,-8369,-8437,-8471,-8515,-8557,-8598,-8764,-8749,-8739,-8744,-8798,-8823,-8785,-8845,-8821,-8777,-8774,-8794,-8404,-8379,-8599,-8622,-8718,-8811,-8904,-8958,-8998,-7653,-7701,-7723,-7756,-7797,-7811,-7820,-7891,-7933,-7989,-8039,-8062,-8117,-8174
Bursa,40.1965008,29.05891579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76944,-84482,-92051,-96816,-97060,-96902,-97370,-98301,-100146,-101736,-103825,-106571,-108497,-110149,-111285,-115184,-123376,-127295,-133540,-134490,-136375,-140253,-143387,-144002,-145536,-148077,-150063,-151293,-151600,-153145,-156781,-158892,-162471,-164379,-167110,-167615,-170372,-169062,-170705,-174770,-174865,-175584,-176743,-177075,-176638,-176641,-176733,-176288,-176374,-175511,-175667,-175812,-176016,-176358,-176691,-176953,-177304,-177675,-177967,-178352
Canakkale,40.14649807,26.40629366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3050,-3070,-3247,-3322,-3363,-3344,-3360,-3375,-3383,-3400,-3437,-3826,-3805,-3813,-3850,-4051,-4160,-4204,-4400,-4534,-4550,-4659,-4758,-4761,-4912,-2765,-3042,-3186,-3270,-3425,-3548,-3907,-4419,-4893,-4998,-5033,-5204,-5448,-5764,-6107,-6106,-6064,-5969,-5833,-5801,-5804,-5699,-5611,-5617,-5537,-5515,-5524,-5532,-5515,-5456,-5398,-5383,-5357,-5342,-5345
