CITY,LAT,LON,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Nov-15,Nov-15,Jan-16,Feb-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Nov-16,Dec-16,Jan-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,Apr-18,May-18,Jun-18,Jul-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Dec-19,Jan-20,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Gaziantep,37.06144923,37.36916829,0,-1100,-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121863,-129132,-129132,-129132,-158707,-165633,-165633,-165633,-182188,-186883,-199279,-207562,-207584,-202773,-204526,-204526,-204526,-204526,-204526,-204526,-204526,-204526,-204526,-204526,-327565,-325874,-325239,-325128,-323320,-321157,-319758,-318596,-318619,-318786,-319753,-329682,-329622,-330325,-332056,-337698,-341649,-342442,-346322,-350067,-355371,-369090,-377506,-378984,-382378,-384285,-387118,-389773,-390530,-392998,-399732,-407343,-417013,-422850,-425802,-426383,-429575,-429302,-433664,-445154,-445748,-447921,-450546,-452101,-452788,-453379,-454631,-452533,-452850,-452278,-450184,-449576,-449113,-448980,-450591,-450618,-451828,-450881,-451652,-449730
Giresun,40.91947922,38.38601514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-79,-135,-133,-132,-135,-135,-135,-137,-144,-146,-155,-154,-149,-144,-141,-143,-146,-170,-174,-181,-183,-174,-174,-176,-126,-129,-133,-138,-141,-146,-148,-150,-157,-162,-162,-166,-150,-148,-162,-166,-169,-180,-182,-181,-182,-189,-191,-191,-190,-195,-198,-198,-193,-202,-209,-214,-214,-216,-221
Gumushane,40.45842724,39.47826124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,-55,-57,-59,-58,-59,-60,-61,-63,-64,-67,-78,-78,-80,-80,-87,-89,-88,-88,-87,-91,-92,-92,-95,-92,-69,-70,-71,-72,-73,-80,-81,-79,-86,-87,-92,-95,-96,-96,-118,-118,-115,-110,-108,-108,-90,-88,-87,-87,-88,-90,-90,-91,-89,-87,-88,-86,-87,-87,-87
Hakkari,37.57564813,43.73766664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-842,-861,-966,-967,-950,-921,-920,-910,-902,-878,-875,-1010,-1033,-1041,-1041,-1971,-2410,-2467,-2884,-5173,-6879,-8663,-8474,-8407,-8213,-5833,-5763,-5742,-5723,-5675,-5619,-5573,-5527,-5469,-5426,-5424,-5391,-5356,-5332,-5323,-5320,-5286,-5250,-5235,-5230,-5228,-5215,-5199,-5199,-5188,-5185,-5190,-5185,-5179,-5164,-5155,-5151,-5151,-5153,-5152
Hatay,36.19888195,36.15888928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74390,-76323,-76323,-76323,-126408,-134275,-134275,-134275,-142612,-169281,-185273,-195614,-224177,-236710,-259441,-259441,-259441,-259441,-259441,-259441,-259441,-259441,-259441,-259441,-364022,-363933,-386181,-386064,-382702,-379126,-377338,-376730,-377991,-377195,-379516,-383946,-384774,-386264,-389297,-398180,-416589,-426278,-450493,-457106,-457670,-453323,-445460,-444423,-442740,-445095,-443477,-443030,-442493,-442091,-438127,-438242,-441197,-444576,-447406,-447884,-439910,-430357,-426869,-431098,-432436,-437231,-439200,-440920,-440699,-440375,-439983,-438330,-438936,-440569,-438303,-434420,-433364,-433162,-435233,-435416,-436167,-434486,-435427,-433592
Igdir,39.9229437,44.04550456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,-77,-77,-80,-77,-80,-79,-79,-79,-79,-81,-88,-89,-89,-84,-89,-89,-90,-98,-104,-118,-119,-134,-134,-134,-89,-84,-88,-88,-88,-94,-92,-88,-87,-101,-101,-90,-90,-91,-86,-86,-86,-86,-89,-87,-85,-85,-86,-86,-88,-88,-88,-88,-89,-89,-89,-87,-91,-93,-91
Isparta,37.75921425,30.54808316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2645,-3568,-4948,-5927,-6164,-6115,-6124,-6117,-6123,-6124,-6219,-6409,-6538,-6594,-6600,-6674,-6789,-6815,-6874,-6881,-6955,-7004,-7134,-7158,-7176,-7177,-7159,-7180,-7192,-7210,-7231,-7260,-7301,-7234,-7248,-7250,-7293,-6749,-6630,-6670,-6666,-6710,-6721,-6760,-6774,-6812,-5345,-5428,-5443,-5545,-5653,-5648,-5652,-5865,-6072,-6270,-6417,-6594,-6721,-6853
Istanbul,41.01227385,28.97589975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-334108,-357225,-383104,-394541,-391784,-392682,-392031,-396699,-411784,-416690,-448125,-479333,-480834,-482443,-483810,-496983,-511380,-517697,-532802,-537829,-540579,-548569,-554655,-555772,-558276,-561159,-563133,-563716,-563876,-563963,-560980,-560033,-558548,-557736,-558196,-558437,-560706,-548483,-546238,-547716,-547943,-548853,-549159,-549903,-555179,-556289,-479420,-482483,-483445,-492013,-496438,-496695,-496852,-501462,-506041,-507482,-510341,-513364,-515760,-518519
Izmir,38.43414428,27.17186611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78764,-83226,-88125,-90600,-91409,-91237,-91175,-92521,-95239,-96927,-101175,-108681,-109549,-110126,-110876,-113882,-117434,-118650,-123388,-129644,-131733,-133823,-135769,-135955,-136442,-137267,-137624,-138049,-138356,-138897,-139282,-139797,-141138,-142035,-142819,-142989,-143660,-142354,-142995,-144802,-145123,-145984,-146688,-146885,-147754,-148017,-147627,-147018,-147111,-146560,-145524,-145498,-145576,-146244,-146518,-146768,-146970,-147134,-147304,-147553
Kahramanmaras,37.57726008,36.92770393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14330,-24542,-24542,-24542,-32292,-34732,-34732,-34732,-37619,-40033,-42585,-43513,-48112,-45607,-46108,-46108,-46108,-46108,-46108,-46108,-46108,-46108,-46108,-46108,-76692,-78968,-82286,-84094,-84182,-84131,-84241,-84920,-86012,-86098,-87315,-90012,-90877,-91704,-92320,-93472,-95431,-96251,-99004,-99168,-99285,-99927,-100248,-100236,-100230,-100346,-92387,-81940,-75575,-76656,-78626,-81710,-84309,-86590,-88366,-88602,-88359,-87407,-87201,-89723,-90073,-92630,-92899,-93012,-93135,-93274,-93604,-93682,-93795,-93059,-92294,-92324,-92494,-93050,-92002,-92138,-92334,-92669,-92697,-92894
Karabuk,41.19591663,32.6084546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-181,-227,-247,-269,-267,-271,-274,-289,-317,-350,-390,-488,-488,-499,-501,-510,-525,-536,-601,-613,-624,-709,-730,-732,-747,-772,-578,-604,-639,-664,-657,-757,-775,-806,-836,-836,-785,-793,-815,-845,-846,-862,-871,-900,-976,-992,-995,-1010,-1013,-1033,-1064,-1064,-1063,-1074,-1078,-1075,-1085,-1103,-1132,-1148
Karaman,37.18275022,33.2159851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-254,-274,-326,-380,-418,-471,-475,-474,-493,-506,-516,-585,-581,-589,-589,-600,-609,-615,-658,-665,-706,-715,-686,-686,-694,-687,-518,-543,-612,-651,-683,-702,-728,-772,-779,-781,-777,-771,-770,-762,-756,-757,-796,-813,-816,-816,-817,-821,-822,-815,-820,-824,-825,-823,-823,-825,-817,-817,-819,-818
Kars,40.60288964,43.09507856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,-110,-117,-123,-126,-123,-126,-126,-137,-143,-159,-184,-182,-181,-181,-186,-194,-193,-201,-206,-210,-223,-227,-227,-221,-133,-146,-153,-148,-147,-153,-154,-161,-155,-165,-165,-169,-170,-174,-174,-174,-179,-179,-173,-164,-165,-169,-171,-171,-173,-174,-176,-177,-177,-180,-183,-184,-190,-185,-189
Kastamonu,41.37577073,33.77874953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,-505,-517,-556,-574,-617,-622,-641,-665,-706,-775,-922,-987,-1030,-1042,-1064,-1121,-1163,-1264,-1281,-1321,-1340,-1364,-1365,-1382,-1395,-1107,-1019,-1065,-1132,-1178,-1228,-1268,-1294,-1310,-1310,-1323,-1467,-1762,-2155,-2202,-2223,-2569,-2923,-3221,-3240,-3242,-3251,-3254,-3213,-3187,-3184,-3186,-3189,-3140,-3124,-3111,-3085,-3059,-3044
Kayseri,38.72229229,35.48863447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33428,-40873,-46520,-49016,-50230,-50428,-50932,-51398,-52644,-54167,-55759,-58852,-59585,-60122,-60589,-62769,-64501,-65275,-69045,-70563,-71098,-71696,-73244,-73491,-73865,-74524,-74923,-75130,-75267,-75497,-75781,-76744,-77373,-77698,-78082,-78178,-78689,-77703,-77781,-78894,-79161,-79758,-79978,-80541,-80938,-81193,-73714,-74212,-74470,-75215,-75800,-76124,-76330,-76982,-77257,-77521,-77797,-78227,-78493,-78826
Kilis,36.71557647,37.11333479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25920,-26700,-26700,-26700,-39691,-44350,-44350,-44350,-55600,-56350,-60005,-62371,-64050,-64850,-66500,-66500,-66500,-66500,-66500,-66500,-66500,-66500,-66500,-66500,-119117,-124287,-127522,-129197,-128100,-125751,-124579,-123654,-122886,-122032,-122779,-124418,-124888,-125507,-125790,-127297,-128306,-129063,-131671,-131914,-130830,-130560,-130057,-130001,-130235,-131109,-131302,-130841,-130487,-129993,-126531,-124371,-122169,-116135,-114853,-114788,-117168,-115172,-114797,-115903,-116317,-115832,-116161,-116492,-115741,-115898,-116252,-115491,-115576,-115129,-111948,-109717,-108375,-108189,-108969,-108316,-108925,-108579,-109060,-105501
Kirikkale,39.83995854,33.50399373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-284,-359,-413,-437,-458,-468,-497,-525,-640,-674,-683,-817,-825,-844,-844,-863,-924,-928,-1057,-1097,-1161,-1185,-1262,-1258,-1281,-1009,-1094,-1109,-1122,-1296,-1395,-1408,-1447,-1478,-1491,-1497,-1495,-1499,-1505,-1550,-1585,-1615,-1662,-1699,-1721,-1739,-1732,-1735,-1736,-1765,-1176,-1774,-1780,-1796,-1813,-1810,-1816,-1827,-1856,-1865
Kirklareli,41.73592412,27.21885739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2126,-2069,-2070,-2070,-2070,-2067,-2068,-2063,-2062,-2074,-2087,-2125,-2145,-2165,-2165,-2169,-2197,-2212,-2274,-2274,-2340,-2360,-2384,-2394,-2408,-2435,-2450,-2457,-2475,-2504,-2522,-2574,-2628,-2668,-2698,-2698,-2742,-2723,-2724,-2716,-2716,-2704,-2702,-2694,-2675,-2675,-1042,-1038,-1039,-1014,-1020,-1013,-1016,-1017,-1004,-993,-989,-990,-978,-973
Kirsehir,39.14642722,34.1597729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-490,-524,-547,-550,-548,-573,-637,-639,-638,-671,-716,-872,-883,-886,-886,-901,-1004,-1006,-1067,-1098,-1147,-1204,-1229,-1237,-1250,-897,-949,-1038,-1079,-1146,-1181,-1191,-1241,-1302,-1343,-1339,-1335,-1338,-1349,-1374,-1376,-1406,-1395,-1406,-1404,-1406,-1438,-1424,-1425,-1424,-1447,-1451,-1457,-1447,-1462,-1532,-1603,-1610,-1628,-1627
Kocaeli,40.76475125,29.92161751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14456,-17198,-20844,-22589,-2320,-23217,-23373,-23971,-25162,-25816,-27764,-32045,-32587,-33275,-33440,-35191,-38324,-39895,-42488,-46541,-48588,-49773,-51124,-51420,-52170,-44277,-46686,-47588,-48391,-49726,-50767,-52036,-53330,-54099,-54745,-54976,-55881,-56241,-56684,-57585,-57745,-58009,-57025,-56382,-55792,-55669,-55585,-55216,-55257,-54852,-55201,-55250,-55283,-55340,-55080,-55009,-55099,-55158,-55170,-55217
Konya,37.87230952,32.49598144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44305,-48608,-59968,-67954,-68929,-68582,-68527,-68652,-69431,-69809,-70612,-73403,-73672,-74672,-75587,-79460,-87501,-92157,-96510,-99990,-101934,-103056,-104565,-104873,-105902,-107515,-97018,-91778,-88821,-90452,-97029,-101552,-103430,-105291,-106443,-106641,-106756,-106160,-106312,-108234,-108419,-109124,-109176,-109800,-110826,-110996,-111399,-112136,-112392,-112952,-113776,-113985,-114288,-115097,-115229,-115568,-116198,-117215,-117661,-117952
Kutahya,39.41958513,29.98437311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-210,-226,-261,-277,-273,-276,-273,-284,-337,-348,-347,-372,-364,-371,-373,-385,-450,-482,-576,-631,-687,-752,-766,-765,-764,-549,-627,-651,-672,-716,-722,-772,-789,-779,-790,-790,-784,-784,-808,-829,-827,-832,-868,-985,-1081,-1245,-1443,-1517,-1596,-1755,-1852,-1848,-1848,-1971,-1920,-1940,-1998,-2029,-2032,-2027
Malatya,38.34149964,38.31344637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,-616,-616,-616,-1516,-1516,-2301,-3946,-4514,-4646,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-16019,-16753,-17631,-17998,-18081,-18286,-18291,-18396,-19000,-19633,-20952,-21983,-22072,-22206,-22320,-22669,-23483,-23754,-24539,-27287,-29024,-29843,-29997,-30031,-30141,-26176,-26468,-26576,-26741,-26997,-27210,-28088,-28760,-29203,-29534,-29581,-29687,-29664,-29713,-29989,-29516,-28597,-28093,-28172,-28265,-28351,-28544,-28594,-28640,-28874,-28990,-29097,-29203,-29310,-29523,-29565,-29698,-29888,-30070,-30247
Manisa,38.6222699,27.43365656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4367,-4843,-5413,-5532,-5654,-5637,-5682,-5725,-5809,-5839,-5969,-6708,-6690,-6722,-6830,-7039,-7478,-7592,-8533,-8945,-9192,-10308,-11098,-11218,-11616,-12117,-12212,-12283,-12413,-12589,-12816,-12924,-13162,-13412,-13492,-13518,-13774,-13596,-13850,-14398,-14429,-14481,-14547,-14673,-14871,-14910,-13061,-13017,-13075,-13193,-13302,-13293,-13325,-13473,-13527,-13548,-13646,-13622,-13626,-13657
Mardin,37.31228804,40.7377871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38519,-39024,-39024,-39024,-39293,-39293,-39293,-39293,-39293,-39293,-39293,-39293,-39293,-52902,-55660,-55660,-55660,-55660,-55660,-55660,-55660,-55660,-55660,-55660,-94710,-93239,-96847,-97746,-97190,-95026,-94224,-93750,-93057,-93184,-93536,-94345,-94382,-94784,-94923,-96042,-93509,-90340,-90455,-90701,-90968,-91446,-92736,-92738,-92743,-92846,-92417,-92021,-91827,-92060,-91723,-90842,-90046,-89999,-89829,-89806,-89404,-87504,-87096,-87411,-87507,-87586,-87589,-88005,-88001,-88034,-88027,-87960,-88036,-88032,-88231,-88267,-88355,-88629,-88782,-88780,-88893,-89006,-88872,-88953
Mersin,36.8012521,34.63377525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-44567,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-54696,-122876,-127216,-134368,-138617,-139173,-138579,-137535,-137257,-135536,-136814,-140480,-146599,-147907,-149203,-149929,-154610,-166332,-173191,-186010,-191684,-194636,-201377,-205784,-206281,-207364,-208139,-209150,-209325,-208556,-208267,-207064,-206861,-206542,-206142,-206146,-206241,-205822,-202117,-201189,-201607,-201887,-202678,-203908,-204770,-205929,-206752,-207834,-207700,-208055,-208879,-210654,-211231,-211722,-213353,-215244,-216253,-217952,-219692,-220990,-222554
Mugla,37.21596622,28.36262115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7086,-7723,-7973,-8090,-8179,-8194,-8216,-8210,-8251,-8320,-8614,-9586,-9783,-10000,-10054,-10538,-11324,-11631,-12393,-12970,-13071,-13160,-13194,-13231,-13306,-13423,-13439,-13478,-13508,-13563,-13625,-13696,-14063,-14270,-14438,-14460,-14567,-14466,-14555,-14969,-15018,-15167,-15401,-15560,-15625,-15615,-11213,-11161,-11180,-11177,-11216,-11246,-11274,-11290,-11297,-11235,-11261,-11256,-11245,-11278
Mus,38.73219587,41.48897827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-605,-641,-669,-667,-725,-682,-664,-686,-766,-814,-858,-858,-877,-884,-886,-889,-975,-1026,-1116,-1202,-1292,-1306,-1352,-1351,-1371,-1434,-1266,-1164,-1186,-1260,-1320,-1349,-1368,-1387,-1391,-1394,-1368,-1382,-1400,-1416,-1431,-1461,-1499,-1503,-1512,-1513,-1521,-1529,-1529,-1525,-1522,-1524,-1528,-1538,-1540,-1551,-1569,-1580,-1597,-1597
Nevsehir,38.629576,34.72325927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3397,-3958,-4633,-4899,-4895,-5185,-5199,-5237,-5322,-5428,-5823,-6607,-6644,-6708,-6719,-6842,-7172,-7295,-7538,-7804,-8051,-8519,-9647,-8670,-8705,-8823,-8903,-8941,-9015,-9112,-9187,-9314,-9456,-9549,-9625,-9641,-9737,-9542,-9575,-9731,-9781,-9885,-10006,-10163,-10335,-10436,-9744,-9893,-9929,-10080,-10270,-10320,-10378,-10567,-10798,-10900,-10979,-11110,-11204,-11383
Nigde,37.97004239,34.6766525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2019,-2206,-2361,-2426,-2641,-2667,-2719,-2912,-3051,-3122,-3315,-3424,-3495,-3590,-724,-3893,-4332,-4437,-4726,-4864,-4976,-4943,-4876,-4853,-4860,-3570,-3720,-3779,-3823,-4020,-4075,-4194,-4340,-4485,-4478,-4499,-4474,-4461,-4500,-4652,-4674,-4739,-4793,-4928,-4960,-5003,-5044,-5059,-5075,-5139,-5194,-5198,-5210,-5247,-5298,-5329,-5416,-5718,-5800,-5879
Ordu,40.98442574,37.87781117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,-390,-484,-514,-619,-595,-595,-605,-613,-618,-627,-727,-724,-729,-729,-740,-739,-739,-792,-799,-814,-828,-824,-821,-826,-563,-592,-615,-624,-634,-636,-662,-658,-663,-672,-673,-689,-665,-664,-668,-673,-689,-710,-856,-886,-880,-877,-879,-879,-876,-892,-894,-901,-905,-897,-901,-899,-905,-912,-917
Osmaniye,37.07503179,36.24845486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9026,-9026,-9026,-9026,-11794,-12394,-12394,-12394,-15999,-16518,-17808,-18796,-19206,-19344,-19715,-19715,-19715,-19715,-19715,-19715,-19715,-19715,-19715,-19715,-34445,-36996,-38940,-39970,-40513,-40140,-39904,-39792,-40101,-40636,-41846,-43698,-44241,-44974,-45227,-46283,-46818,-46863,-47867,-49888,-51767,-53006,-54086,-54196,-54453,-54555,-50745,-49387,-46741,-47118,-47776,-48299,-48958,-49073,-49072,-49035,-48921,-48662,-48572,-49801,-50295,-51160,-51131,-50928,-50492,-50008,-49736,-49690,-49749,-49599,-49547,-49579,-49545,-48920,-48377,-48175,-48198,-47805,-47801,-47656
Rize,41.02384882,40.52051182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-351,-419,-504,-516,-512,-541,-569,-583,-591,-599,-631,-662,-662,-668,-670,-687,-760,-763,-836,-850,-897,-917,-915,-923,-909,-916,-787,-746,-761,-785,-814,-830,-851,-856,-883,-889,-902,-905,-920,-926,-929,-962,-989,-1035,-1042,-1045,-1046,-1045,-1046,-1054,-1064,-1065,-1075,-1065,-1053,-1059,-1072,-1094,-1103,-1094
Sakarya,40.78055731,30.39998569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2497,-3991,-5010,-5474,-5872,-5867,-5883,-6103,-6472,-6639,-7212,-8099,-8269,-8457,-8488,-8659,-9561,-10199,-10651,-11953,-12750,-12850,-13174,-13224,-13468,-13811,-14001,-14093,-14175,-14379,-14787,-15008,-15401,-15593,-15784,-15824,-15953,-15856,-15928,-15999,-16090,-16375,-16530,-16451,-16350,-16332,-14980,-15050,-15101,-15123,-15180,-15182,-15230,-15318,-15312,-15323,-15367,-15362,-15396,-15434
Samsun,41.28983163,36.33806223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2190,-2471,-3184,-3297,-3246,-3314,-3328,-3471,-3696,-3873,-4050,-4293,-4372,-4432,-4432,-4546,-4724,-4800,-4957,-5075,-5279,-5620,-5809,-5839,-5839,-5900,-3658,-3851,-3982,-4185,-4733,-5068,-5374,-5482,-5584,-5594,-5687,-5649,-5715,-5852,-5852,-5954,-6162,-6313,-6416,-6473,-6510,-6542,-6555,-6623,-6686,-6701,-6723,-6792,-6884,-6991,-7125,-7212,-7304,-7461
Sanliurfa,37.92535991,41.94277964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80302,-87163,-87163,-87163,-106822,-108349,-108349,-108349,-194780,-198051,-198051,-198051,-215514,-215514,-243257,-243257,-243257,-243257,-243257,-243257,-243257,-243257,-243257,-243257,-382133,-378691,-396365,-401050,-398702,-398612,-395618,-395527,-397812,-400887,-407275,-420532,-420530,-421919,-425542,-435068,-445584,-448975,-457225,-462961,-466565,-473748,-477161,-476793,-476836,-475782,-473952,-472833,-470730,-469215,-469096,-467592,-456754,-453083,-452746,-452534,-451434,-444923,-441792,-430237,-429735,-428529,-428018,-429717,-430232,-429921,-427696,-427091,-424251,-424635,-422470,-421229,-420722,-420621,-420480,-421156,-421556,-419877,-420593,-421586
